Date,ESGU,SPY
2017-01-03,42.84821319580078,193.96812438964844
2017-01-04,42.84821319580078,195.1220703125
2017-01-05,42.84821319580078,194.96705627441406
2017-01-06,43.48842239379883,195.66468811035156
2017-01-09,43.32270050048828,195.01876831054688
2017-01-10,43.392478942871094,195.01876831054688
2017-01-11,43.392478942871094,195.56996154785156
2017-01-12,43.392478942871094,195.0790557861328
2017-01-13,43.392478942871094,195.52685546875
2017-01-17,43.22676086425781,194.83792114257812
2017-01-18,43.22676086425781,195.26853942871094
2017-01-19,43.22676086425781,194.5451202392578
2017-01-20,43.22676086425781,195.25991821289062
2017-01-23,43.22676086425781,194.75177001953125
2017-01-24,43.53203582763672,196.00050354003906
2017-01-25,43.53203582763672,197.69700622558594
2017-01-26,43.53203582763672,197.4902801513672
2017-01-27,43.73263931274414,197.18031311035156
2017-01-30,43.73263931274414,195.9574432373047
2017-01-31,43.73263931274414,195.94024658203125
2017-02-01,43.73263931274414,196.01771545410156
2017-02-02,43.73263931274414,196.14691162109375
2017-02-03,43.73263931274414,197.49891662597656
2017-02-06,43.73263931274414,197.14581298828125
2017-02-07,43.828582763671875,197.15444946289062
2017-02-08,43.828582763671875,197.41281127929688
2017-02-09,43.828582763671875,198.58396911621094
2017-02-10,44.046627044677734,199.3676300048828
2017-02-13,44.046627044677734,200.4526824951172
2017-02-14,44.046627044677734,201.25357055664062
2017-02-15,44.046627044677734,202.30419921875
2017-02-16,44.046627044677734,202.13194274902344
2017-02-17,44.046627044677734,202.45057678222656
2017-02-21,44.046627044677734,203.65621948242188
2017-02-22,44.046627044677734,203.47537231445312
2017-02-23,44.046627044677734,203.61318969726562
2017-02-24,44.046627044677734,203.87149047851562
2017-02-27,45.163063049316406,204.19012451171875
2017-02-28,45.163063049316406,203.63900756835938
2017-03-01,45.163063049316406,206.48947143554688
2017-03-02,45.163063049316406,205.18905639648438
2017-03-03,45.163063049316406,205.3182830810547
2017-03-06,45.163063049316406,204.7068328857422
2017-03-07,45.163063049316406,204.09544372558594
2017-03-08,45.26772689819336,203.7165069580078
2017-03-09,45.22412109375,203.97483825683594
2017-03-10,45.22412109375,204.6895751953125
2017-03-13,45.22412109375,204.79298400878906
2017-03-14,45.2415657043457,204.00924682617188
2017-03-15,45.2415657043457,205.77467346191406
2017-03-16,45.2415657043457,205.36993408203125
2017-03-17,45.2415657043457,205.0092315673828
2017-03-20,45.2415657043457,204.78439331054688
2017-03-21,44.97990417480469,202.155029296875
2017-03-22,44.97990417480469,202.6307830810547
2017-03-23,45.17177963256836,202.41452026367188
